14:24:04:647,1,3121.844196,00000033,00000000,000003ea,00000000,00000016,00000000,00000000
14:24:04:684,1,3121.855132,00000033,00000141,000003e4,00000000,00000015,0000000e,00000000
14:24:04:729,1,3121.866041,00000033,00000140,000003dc,00000000,0000000d,0000000d,0000002d
14:24:04:812,1,3121.877125,00000033,0000013e,000003d5,00000000,0000000f,0000000e,0000005a
14:24:04:861,1,3121.888349,00000033,0000013d,000003cf,00000000,00000000,0000000d,00000000
14:24:04:915,1,3121.899204,00000033,0000013b,000003ca,00000000,0000000e,00000009,ffffffee
14:24:04:965,1,3121.910253,00000033,00000139,000003c5,00000000,00000000,00000000,00000000
14:24:04:997,1,3121.921281,00000033,00000138,000003c0,00000000,0000000f,00000000,00000000
14:24:05:023,1,3121.932332,00000033,00000137,000003bc,00000000,00000000,00000000,00000000
14:24:05:051,1,3121.943266,00000033,00000136,000003b9,00000000,00000010,00000000,00000000
14:24:05:092,1,3121.954491,00000033,00000134,000003b4,00000000,00000016,00000000,00000000
14:24:05:122,1,3121.965265,00000033,00000133,000003b1,00000000,00000000,00000000,00000000
14:24:05:155,1,3121.976344,00000033,00000132,000003ad,00000000,00000000,00000000,00000000
14:24:05:181,1,3121.987376,00000033,00000131,000003ab,00000000,00000000,00000000,00000000
14:24:05:215,1,3121.998334,00000033,00000000,000003a9,00000000,00000010,00000000,00000000
14:24:05:235,1,3122.009468,00000033,00000000,000003a7,00000000,00000000,00000000,00000000
14:24:05:284,1,3122.020498,00000033,00000000,000003a5,00000000,00000000,00000000,0000000a
14:24:05:331,1,3122.031580,00000033,00000130,000003a4,00000000,00000000,00000000,00000000
14:24:05:421,1,3122.296629,00000034,000000c1,00000091,00000000,00000009,00000007,00000000
14:24:05:470,1,3122.320317,00000034,00000000,00000093,00000000,00000004,00000000,ffffffd3
14:24:05:541,1,3122.331778,00000034,00000000,00000095,00000000,0000000d,00000000,fffffff7
14:24:05:603,1,3122.343314,00000034,00000000,00000097,00000000,00000000,00000000,fffffff1
14:24:05:636,1,3122.355680,00000034,00000000,00000099,00000000,00000000,00000000,00000000
14:24:05:796,1,3122.368497,00000034,0000013b,00000444,00000000,00000004,00000006,0000002d
14:24:05:863,1,3122.380912,00000034,000000bf,000000a1,00000000,00000000,0000000c,0000003c
14:24:05:978,1,3122.393559,00000034,00000139,0000043f,00000000,00000009,00000009,ffffffa6
14:24:06:194,1,3122.408033,00000034,00000138,0000043b,00000000,0000000f,00000000,fffffff5
14:24:06:330,1,3122.420799,00000034,00000137,00000436,00000000,0000000e,00000000,00000000
14:24:06:471,1,3122.433484,00000034,00000136,00000432,00000000,0000000e,0000000d,00000000
14:24:06:630,1,3122.446277,00000034,00000134,0000042d,00000000,0000000d,00000000,0000000f
14:24:06:746,1,3122.458955,00000034,00000132,00000429,00000000,0000000e,00000008,ffffffe4
14:24:06:857,1,3122.471656,00000034,00000131,00000426,00000000,0000000d,00000009,ffffffea
14:24:06:992,1,3122.484245,00000034,00000130,00000422,00000000,0000000f,0000000d,ffffffee
14:24:07:093,1,3122.496892,00000034,0000012e,0000041f,00000000,00000000,00000000,ffffffef
14:24:07:235,1,3122.509805,00000034,0000012c,0000041b,00000000,00000015,0000000d,fffffffb
